size,lo,hi,algorithm,run1_ms,run2_ms,run3_ms,mean_ms,sorted
10000,-10,10,Count,1.044,1.008,0.999,1.017,1
10000,-1000,1000,Count,2.358,2.437,2.331,2.376,1
10000,-100000,100000,Count,4.436,3.890,3.901,4.076,1
100000,-10,10,Count,8.980,9.665,9.045,9.230,1
100000,-1000,1000,Count,19.656,20.025,19.245,19.642,1
100000,-100000,100000,Count,58.902,47.093,40.894,48.963,1
1000000,-10,10,Count,88.241,90.166,91.503,89.970,1
1000000,-1000,1000,Count,174.329,171.587,170.435,172.117,1
1000000,-100000,100000,Count,383.820,358.985,362.534,368.447,1
